"file","categoryname","price","mass","volume","description"
,,,,,
"First_Class_Passenger","Passengers",,4,100,"@cargo/first_class_passenger.image@If you are taking first class passengers around, they had better have all the amenities one expects."
"Business_Class_Passenger","Passengers",,3,50,"@cargo/business_class_passenger.image@With a laptop and a wide rear, the business class passenger enjoys some of the room of the first class passenger."
"Frozen_Colonist","Passengers/Economy",,1,3,"@cargo/frozen_colonist.image@Polite, space-efficient, doesn't try to back-seat pilot, doesn't care how long it takes to get there. Unfortunately, being technically, if only temporarily, deceased - not much for conversation."
"Hitchhiker","Passengers/Economy",,0.4,6,"@cargo/steerage_class@Always brings a towel of his/her own."
,,,,,
"Ration_Mealpacks","Natural_Products/Food/Confed",100,1.2,1,"@cargo/ration_mealpacks.image@Owing to the generally high danger of radiation deterioration, most foods consumed in space by humans are mealpacks. These compact mealpacks contain energy bars and an energy liquid drink. Highly nutritious, and absolutely tasteless to the eye and palate."
"Standard_Mealpacks","Natural_Products/Food/Confed",100,1.2,1,"@cargo/standard_mealpacks.image@Standard Mealpacks are designed for regular people who want a halfway decent meal without a lot of trouble. Self-heating, these mealpacks are hermetically sealed packs of cheap and satisfying foodstuffs. A great alternative to the staple foods on many developed worlds: vat grown meats, algae sludge and tofu bars."
"Luxury_Mealpacks","Natural_Products/Food/Confed",180,0.8,1,"@cargo/luxury_mealpacks.image@Oriented towards the human digestive system, such packs typically contain actual game meat, exotic fruits, vegetables and other rarest of rare foods. Despite repeated denials, rumours persist that meat from other sentient beings are included for the palates of those most decadent of the rich and famous."
"Filtered_Water","Natural_Products/Food/Confed",40,10,10,"@cargo/fresh_water.image@The main building block of life. Fresh water is required by most animalistic species to maintain bodily function. A body will normally use water to carry nutrients to all cells of the body, and remove toxic wastes to avoid poisoning and death."
"Filtered_Water","Natural_Products/Food/Aera",40,3,3,"@cargo/fresh_water.image@The main building block of life. Fresh water is required by most animalistic species to maintain bodily function. A body will normally use water to carry nutrients to all cells of the body, and remove toxic wastes to avoid poisoning and death."
"Aera_Ration","Natural_Products/Food/Aera",40,1.4,1,"@cargo/aera_ration.image@Containing utilitarian dehydrated meal bars with jerky for dessert, the Aera ration is human edible, but prolonged human consumption will result in eventual sickness and death due to alkaloid content."
"Jhurlon","Natural_Products/Food/Aera",140,1.05,1,"@cargo/jhurlon.image@A native of the Bzbr world, the Jhurlon most closely resembles a boulder sized land dwelling abalone. While well protected against native predators, modern technology has made cutting through their shell somewhat easier."
"Salted_Thok","Natural_Products/Food/Aera",130,1.2,1,"@cargo/salted_thok.image@Though the Aera destroyed their jungle forests, the seas fared better, and continue to produce this tasty fish-like creature."
"Sustipack","Natural_Products/Food/Rlaan",140,0.8,1,"@cargo/sustipacks.image@Containing the bare minimum in ammonia based concentrates and a carb syrup, these packs provide a Rlaan with absolute minimum sustenance. Strangely enough, these packs aid Rlaan fitness, as they will make every effort to avoid eating one."
"Nutripack","Natural_Products/Food/Rlaan",150,0.9,1,"@cargo/nutripacks.image@Containing a protein brick, carb glop and gels in ammonia solutions stored at such temperatures that ammonia is a liquid. An unprepared human would have a fatal experience opening, let alone eating, this pack."
"Ultrapack","Natural_Products/Food/Rlaan",40,0.9,1,"@cargo/ultrapacks.image@These Rlaan foodpacks are factory processed and hermetically sealed biofoods somewhat more tasteworthy to the Rlaan palate. Typically used as an addition to Nutripacks."
"Coffee","Natural_Products/Food/Generic",140,0.75,1,"@cargo/coffee.image@Generation upon generation of addicts have made the production of coffee one of the largest industries in known space."
"Animal_Products","Natural_Products/Food/Generic",110,1,1,"@cargo/animal_products.image@Typically diary, eggs, caviar and other products of various animal internal organs, they remain a food source of high nutritional value for all species, and some diners derive a twisted pleasure from eating foods originating from such a source."
"Grains","Natural_Products/Food/Generic",70,6,10,"@cargo/grains.image@The edible grass seeds, grains, and the carbohydrates garnered from them, are a pillar of an omnivorous diet. When fermented properly, they become the pillars of a liquid diet."
